U+F9DC	隆	⿸⿰⻖⿱夂一生	⿰阝㚅
U+F9DD	利	⿰禾刂	利
U+F9DE	吏	吏	⿻一史
U+F9DF	履	履	⿸尸復
U+F9E0	易	易	⿱日勿
U+F9E1	李	李	⿱木子
U+F9E2	梨	梨	⿱利木
U+F9E3	泥	泥	⿰氵尼
U+F9E4	理	理	⿰王里
U+F9E5	痢	痢	⿸疒利
U+F9E6	罹	罹	⿱罒惟
U+F9E7	裏	裏	⿳亠里𧘇
U+F9E8	裡	⿰衤里	裡
U+F9E9	里	⿱⿻甲一一	里	⿻甲二
U+F9EA	離	⿰离隹	離
U+F9EB	匿	⿷匚若	匿
U+F9EC	溺	⿰氵弱	溺
U+F9ED	吝	⿱文口	吝
U+F9EE	燐	燐	⿰火粦
U+F9EF	璘	⿰王粦	璘
U+F9F0	藺	藺	⿱艹閵
U+F9F1	隣	⿰阝粦	隣
U+F9F2	鱗	鱗	⿰魚粦
U+F9F3	麟	⿰鹿粦	麟
U+F9F4	林	林	⿰木木
U+F9F5	淋	⿰氵林	淋
U+F9F6	臨	臨	⿰臣⿱𠂉品
U+F9F7	立	立	⿱⿱亠丷一
U+F9F8	笠	⿱竹立	笠
U+F9F9	粒	⿰米立	粒
U+F9FA	狀	⿰爿犬	狀
U+F9FB	炙	⿱⿴𠂊⺀火	炙
U+F9FC	識	識	⿰言戠
U+F9FD	什	⿰亻十	什
U+F9FE	茶	⿳艹人朩	茶
U+F9FF	刺	刺	⿰朿刂
U+FA00	切	切	⿰七刀
U+FA01	度	度	⿸广⿱廿又
U+FA02	拓	⿰扌石	拓
U+FA03	糖	糖	⿰米唐
U+FA04	宅	宅	⿱宀乇
U+FA05	洞	⿰氵同	洞
U+FA06	暴	⿱日㳟	暴
U+FA07	輻	輻	⿰車畐
U+FA08	行	行	⿰彳亍
U+FA09	降	⿰阝夅	降
U+FA0A	見	見	⿱目儿
U+FA0B	廓	⿸广郭	廓
U+FA0C	兀	⿱一儿	兀
U+FA0D	嗀	嗀	⿰𫯁殳
U+FA10	塚	⿰土冢	塚
U+FA12	晴	晴	⿰日靑
U+FA15	凞	凞	⿱⿲冫臣巳灬
U+FA16	猪	⿰犭者
U+FA17	益	⿰⿳八一八皿	⿱⿱⿱八一八皿
U+FA18	礼	⿰示乚
U+FA19	神	⿰示申
U+FA1A	祥	⿰示羊
U+FA1B	福	⿰示畐
U+FA1C	靖	⿰立靑
U+FA1D	精	⿰米靑
U+FA1E	羽	⿰⿹𠃌⿱丿丿⿹𠃌⿱丿丿	羽
U+FA20	蘒	⿱艹龝	⿱⺾龝
U+FA22	諸	⿰言者
