U+28143	𨅃	⿰𧾷崇
U+28144	𨅄	⿰𧾷軟
U+28145	𨅅	⿰𧾷⿱止技
U+28146	𨅆	⿰𧾷⿱𡗜圭
U+28147	𨅇	⿱啐足
U+28148	𨅈	⿰𧾷𦰧
U+28149	𨅉	⿰𧾷朗
U+2814A	𨅊	⿲𧾷育攵	⿰𧾷𰕎
U+2814B	𨅋	⿰𧾷肅
U+2814C	𨅌	⿰𧾷爲
U+2814D	𨅍	⿰𧾷間
U+2814E	𨅎	⿰𧾷最
U+2814F	𨅏	⿰𧾷嵐
U+28150	𨅐	⿱無足
U+28151	𨅑	⿰𧾷須
U+28152	𨅒	⿰𧾷尌
U+28153	𨅓	⿰𧾷奢
U+28154	𨅔	⿰𧾷朁
U+28155	𨅕	⿰𧾷替
U+28156	𨅖	⿰𧾷散
U+28157	𨅗	⿰𧾷筆
U+28158	𨅘	⿱彭足
U+28159	𨅙	⿰𧾷啻
U+2815A	𨅚	⿱敖足
U+2815B	𨅛	⿰𧾷⿸尸禹	⿰𧾷属
U+2815C	𨅜	⿰𧾷異
U+2815D	𨅝	⿰𧾷牚
U+2815E	𨅞	⿰𧾷答
U+2815F	𨅟	⿰𧾷𤊆[X]	⿰𧾷⿳覀二火
U+28160	𨅠	⿱欽足
U+28161	𨅡	⿰𧾷𠷎
U+28162	𨅢	⿰𧾷⿱龷放	⿰𧾷𭣺
U+28163	𨅣	⿰𧾷㙓	⿰𧾷⿱垚土
U+28164	𨅤	⿰𧾷朞	⿰𧾷⿱其月
U+28165	𨅥	⿰𧾷悲
U+28166	𨅦	⿰𧾷㫺
U+28167	𨅧	⿰𧾷⿸厃⿳八工口	⿰𧾷⿸厃⿱八𢀛
U+28168	𨅨	⿰𧾷棠
U+28169	𨅩	⿱跣𣅀	⿱跣⿱亠日
U+2816A	𨅪	⿱⿰牙牙⿰足牙	⿱𤘆⿰足牙
U+2816B	𨅫	⿲𧾷麦去
U+2816C	𨅬	⿰𧾷阑
U+2816D	𨅭	⿰𧾷覃
U+2816E	𨅮	⿰𧾷都
U+2816F	𨅯	⿰𧾷華
U+28170	𨅰	⿰𧾷極
U+28171	𨅱	⿰𧾷⿱芚日	⿰𧾷萅
U+28172	𨅲	⿰𧾷𦓔	⿰𧾷⿱而而
U+28173	𨅳	⿰𧾷⿱吞𠕁
U+28174	𨅴	⿱番足
U+28175	𨅵	⿰𧾷𦐱	⿰𧾷⿱⿰彐彐羽
U+28176	𨅶	⿰𧾷叅
U+28177	𨅷	⿰𧾷隊
U+28178	𨅸	⿰𧾷等
U+28179	𨅹	⿰𧾷朝
U+2817A	𨅺	⿰𧾷敢
U+2817B	𨅻	⿰𧾷⿱穴告	⿰𧾷窖
U+2817C	𨅼	⿰𧾷萊
U+2817D	𨅽	⿰𧾷閑
U+2817E	𨅾	⿰𧾷森
U+2817F	𨅿	⿰𧾷越
U+28180	𨆀	⿰𧾷閒
U+28181	𨆁	⿰𧾷亶
U+28182	𨆂	⿰𧾷⿱夭韭[U]	⿰𧾷䪞[G]	⿰𧾷⿱夭韭
U+28183	𨆃	⿰𧾷禁
U+28184	𨆄	⿰𧾷楚
U+28185	𨆅	⿰𧾷睪
U+28186	𨆆	⿰𧾷頍
U+28187	𨆇	⿰𧾷閘
U+28188	𨆈	⿰𧾷睘
U+28189	𨆉	⿰𧾷當
U+2818A	𨆊	⿱鼓足
U+2818B	𨆋	⿰𧾷義
U+2818C	𨆌	⿰𧾷煩
U+2818D	𨆍	⿰𧾷葛
U+2818E	𨆎	⿰𧾷賊
U+2818F	𨆏	⿰𧾷遂
U+28190	𨆐	⿰𧾷⿱龹足
U+28191	𨆑	⿰𧾷𥭽	⿰𧾷⿱竹足
U+28192	𨆒	⿰𧾷準
U+28193	𨆓	⿰𧾷禽
U+28194	𨆔	⿰𧾷過
U+28195	𨆕	⿱献足
U+28196	𨆖	⿰𧾷零
U+28197	𨆗	⿰𧾷粤	⿰𧾷粵
U+28198	𨆘	⿰𧾷僉
U+28199	𨆙	⿰𧾷瑟
U+2819A	𨆚	⿰𧾷⿱⿵大𠮛羽	⿰𧾷⿳大𠮛羽
U+2819B	𨆛	⿰𧾷遁
U+2819C	𨆜	⿱煩足
U+2819D	𨆝	⿰𧾷會
U+2819E	𨆞	⿰𧾷農
U+2819F	𨆟	⿰𧾷董
U+281A0	𨆠	⿰𧾷葵
U+281A1	𨆡	⿰𧾷葉
U+281A2	𨆢	⿰𧾷雷
U+281A3	𨆣	⿰𧾷萬
U+281A4	𨆤	⿰𧾷群
U+281A5	𨆥	⿱損足
U+281A6	𨆦	⿰𧾷筫
U+281A7	𨆧	⿱輊足
U+281A8	𨆨	⿰𧾷⿺𠃊貴
U+281A9	𨆩	⿰𧾷遍
U+281AA	𨆪	⿱輕足
U+281AB	𨆫	⿰𧾷疐
U+281AC	𨆬	⿱足⿰足足
U+281AD	𨆭	⿰𧾷⿳白穴方
U+281AE	𨆮	⿰𧾷耤
U+281AF	𨆯	⿰𧾷僕
U+281B0	𨆰	⿰𧾷㬎
U+281B1	𨆱	⿰𧾷凴
U+281B2	𨆲	⿰𧾷㥯
U+281B3	𨆳	⿰𧾷𦵮	⿰𧾷⿱艹⿰⻖辛
U+281B4	𨆴	⿰𧾷㷠
