# Hanyo-Denshi IVD Collection
# https://www.unicode.org/ivd/hanyo-denshi/
# 13,045 total IVSes registered in the 2012-03-02 version of the IVD
# PRIs #167 & #187
#
3CBA E0101; Hanyo-Denshi; TK01048280
3CDF E0100; Hanyo-Denshi; IA0438
3CDF E0101; Hanyo-Denshi; JTB42BS
3CE4 E0100; Hanyo-Denshi; IA2722
3CE4 E0101; Hanyo-Denshi; KS198370
3CF8 E0100; Hanyo-Denshi; IA2804
3CF8 E0101; Hanyo-Denshi; KS198930
3CFD E0100; Hanyo-Denshi; IB2232
3CFD E0101; Hanyo-Denshi; TK01049980
3D00 E0100; Hanyo-Denshi; IA0442
3D00 E0101; Hanyo-Denshi; KS199680
3D04 E0100; Hanyo-Denshi; IA2814
3D04 E0101; Hanyo-Denshi; KS198350
3D0A E0100; Hanyo-Denshi; IA2819
3D0A E0101; Hanyo-Denshi; TK01049870
3D1E E0101; Hanyo-Denshi; IA0443
3D1E E0102; Hanyo-Denshi; JTB45B
3D20 E0100; Hanyo-Denshi; IA0444
3D20 E0101; Hanyo-Denshi; TK01050370
3D41 E0100; Hanyo-Denshi; IA2858
3D41 E0101; Hanyo-Denshi; KS204600
3D64 E0101; Hanyo-Denshi; IA0453
3D64 E0102; Hanyo-Denshi; TK01053100
3D67 E0100; Hanyo-Denshi; IA0454
3D67 E0101; Hanyo-Denshi; KS207740
3D69 E0100; Hanyo-Denshi; IA2886
3D69 E0101; Hanyo-Denshi; KS207840
3D6A E0100; Hanyo-Denshi; IA2887
3D6A E0101; Hanyo-Denshi; TK01052420
3D6A E0102; Hanyo-Denshi; TK01052850
3D7E E0100; Hanyo-Denshi; IB0323
3D7E E0101; Hanyo-Denshi; IB0736
3D80 E0100; Hanyo-Denshi; IA2911
3D80 E0101; Hanyo-Denshi; JT3D80
3D87 E0100; Hanyo-Denshi; IA2916
3D87 E0101; Hanyo-Denshi; TK01053650
3D93 E0100; Hanyo-Denshi; IA0458
3D93 E0101; Hanyo-Denshi; KS211230
3D98 E0100; Hanyo-Denshi; IA2926
3D98 E0101; Hanyo-Denshi; JTB7E3
3DA7 E0100; Hanyo-Denshi; IA2936
3DA7 E0101; Hanyo-Denshi; TK01054240
3DB3 E0100; Hanyo-Denshi; IA2944
3DB3 E0101; Hanyo-Denshi; KS214450
3DC0 E0101; Hanyo-Denshi; IA0461
3DC0 E0102; Hanyo-Denshi; KS215050
3DD4 E0101; Hanyo-Denshi; IA0463
3DD4 E0102; Hanyo-Denshi; KS216430
3DD5 E0100; Hanyo-Denshi; IA2966
3DD5 E0101; Hanyo-Denshi; TK01055100
3DD5 E0102; Hanyo-Denshi; TK01055150
3DDF E0100; Hanyo-Denshi; IB0324
3DDF E0101; Hanyo-Denshi; IB0740
3DEC E0100; Hanyo-Denshi; IA2977
3DEC E0101; Hanyo-Denshi; KS217740
3DED E0100; Hanyo-Denshi; IB0325
3DED E0101; Hanyo-Denshi; IB0742
3DF1 E0100; Hanyo-Denshi; IA0465
3DF1 E0101; Hanyo-Denshi; KS217650
3E02 E0100; Hanyo-Denshi; IB0326
3E02 E0101; Hanyo-Denshi; IB0746
3E0F E0100; Hanyo-Denshi; IA0466
3E0F E0101; Hanyo-Denshi; JTB560
3E14 E0100; Hanyo-Denshi; KS260370
3E14 E0101; Hanyo-Denshi; KS261060
3E35 E0100; Hanyo-Denshi; IA3039
3E35 E0101; Hanyo-Denshi; TK01057100
3E37 E0100; Hanyo-Denshi; IA3041
3E37 E0101; Hanyo-Denshi; KS225220
3E83 E0101; Hanyo-Denshi; JD8041
3E83 E0102; Hanyo-Denshi; KS230610
3E9A E0100; Hanyo-Denshi; IB0327
3E9A E0101; Hanyo-Denshi; IB0751
3EBF E0100; Hanyo-Denshi; IA3152
3EBF E0101; Hanyo-Denshi; TK01058350
3F0B E0100; Hanyo-Denshi; IA0484
3F0B E0101; Hanyo-Denshi; KS239730
3F1B E0100; Hanyo-Denshi; IA3217
3F1B E0101; Hanyo-Denshi; KS241040
3FC2 E0100; Hanyo-Denshi; IA0490
3FC2 E0101; Hanyo-Denshi; JTB611
3FCA E0100; Hanyo-Denshi; IA3377
